Respondent,Languages
1,C#;HTML/CSS;JavaScript
2,JavaScript;Swift
3,Objective-C;Python;Swift
4,NA
5,HTML/CSS;Ruby;SQL
6,HTML/CSS;Java;JavaScript
7,C#;HTML/CSS;PHP
8,Python;SQL
9,HTML/CSS;JavaScript;PHP
10,HTML/CSS;Java;JavaScript;Python;SQL
11,C#;JavaScript;Swift
12,HTML/CSS;JavaScript
13,C;JavaScript;Python
14,HTML/CSS;JavaScript;SQL;TypeScript
15,Bash/Shell/PowerShell;C;HTML/CSS;Java;Python;SQL
16,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;R
17,C#;HTML/CSS;JavaScript;Python;SQL;VBA
18,Bash/Shell/PowerShell;HTML/CSS;Perl
19,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript
20,Java;JavaScript;SQL
21,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;Scala;SQL;Swift;TypeScript
22,Java;Python
23,Bash/Shell/PowerShell;C#;C++
24,Bash/Shell/PowerShell;Java;Kotlin;PHP;SQL
25,Bash/Shell/PowerShell;C
26,JavaScript;Python
27,Bash/Shell/PowerShell;C;C++;Java;Python;SQL
28,Python;R
29,C#;C++;HTML/CSS;Python
30,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript
31,C;C++
32,C;C++;Java;Python;SQL;VBA
33,HTML/CSS;JavaScript;TypeScript
34,HTML/CSS;Java;JavaScript;SQL;TypeScript
35,HTML/CSS;Java;JavaScript;Ruby
36,C#;Go;HTML/CSS;Java;JavaScript;Python;R;SQL
37,Bash/Shell/PowerShell;Haskell;HTML/CSS;JavaScript;SQL;TypeScript
38,HTML/CSS;JavaScript;Python;Ruby;Rust
39,C#;Python
40,C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL
41,C;C#;Java;SQL
42,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Python
43,Dart;HTML/CSS;Java;JavaScript;SQL
44,HTML/CSS;Python;R;SQL;VBA
45,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Python;Scala;TypeScript
46,Bash/Shell/PowerShell;C#;C++
47,Bash/Shell/PowerShell;C#;Java;JavaScript;Python;Ruby;SQL
48,JavaScript;Ruby;SQL
49,C#;HTML/CSS;JavaScript;TypeScript
50,HTML/CSS;JavaScript;PHP;SQL
51,JavaScript;Python;SQL;TypeScript
52,Java;Kotlin
53,Dart;HTML/CSS;Python
54,C#;HTML/CSS;JavaScript
55,Python
56,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
57,C#;VBA
58,C#;JavaScript;SQL;TypeScript
59,C#;HTML/CSS;JavaScript;PHP;Ruby
60,C#;HTML/CSS;Java;JavaScript;Python;SQL
61,HTML/CSS;JavaScript;PHP;SQL
62,C#;C++;HTML/CSS;Java;Python;Ruby;SQL;Swift
63,C;C++;HTML/CSS;Java;JavaScript;Python
64,HTML/CSS;JavaScript;Perl;SQL
65,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL
66,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;JavaScript;Julia;Python;R;SQL
67,HTML/CSS;JavaScript;Ruby
68,Assembly;Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;JavaScript;PHP;Python
69,HTML/CSS;Python
70,HTML/CSS;JavaScript;PHP;SQL
71,C#;HTML/CSS;Java;JavaScript;PHP;Ruby;TypeScript
72,Bash/Shell/PowerShell;JavaScript;Python;Swift
73,Bash/Shell/PowerShell;HTML/CSS;JavaScript;SQL;TypeScript
74,Assembly;Bash/Shell/PowerShell;C;C#;C++;Go;HTML/CSS;JavaScript;SQL;TypeScript
75,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
76,Assembly;Bash/Shell/PowerShell;C;C++;Python
77,C++;HTML/CSS;Java;Python;R
78,HTML/CSS;JavaScript;PHP;SQL
79,HTML/CSS;JavaScript;PHP;SQL
80,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
81,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
82,C#;HTML/CSS;JavaScript;SQL
83,C;C++;HTML/CSS;Python
84,Bash/Shell/PowerShell;C;C#;C++;HTML/CSS;Java;Python
85,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift
86,Go;HTML/CSS;JavaScript;Python
87,C#;C++;JavaScript;Python
88,Bash/Shell/PowerShell;C++;Kotlin;Python
89,C#;HTML/CSS;JavaScript;SQL;TypeScript
91,HTML/CSS;JavaScript;Ruby;TypeScript
